fov,line,cellID,parentID,frame0,frame1,t0Trans,t1Trans,divT,w0,w1,meanw,L0,L1,expfitBL0,expfitBL1,expfitBL2,area0,area1,expfitBarea0,expfitBarea1,expfitBarea2,V0,V1,expfitBV0,expfitBV1,expfitBV2,SA0,SA1,expfitBSA0,expfitBSA1,expfitBSA2,meanbeta2SA_V_4_0,Itot0,Itot1,xCM0,yCM0,xCM1,yCM1,orientation0,orientation1
0,4,79,73,76.000000,84.000000,-5.150000,51.916667,64.198152,0.834233,0.966490,0.843580,2.116920,4.459855,2.001486,4.795312,0.013610,1.616654,4.109945,1.403409,4.284573,0.017385,1.005101,3.035588,0.799696,3.058811,0.020896,5.548070,13.541538,4.791720,14.003442,0.016704,0.080281,776354.000000,2327561.000000,14.104688,39.672112,15.428052,39.709543,-0.058159,-0.052153
0,4,81,74,76.000000,83.000000,-5.150000,44.783333,57.064819,0.794495,1.000266,0.900364,2.190991,4.585295,2.013756,4.809943,0.015257,1.605269,4.371798,1.495230,4.591862,0.019661,0.954914,3.341189,0.903640,3.507664,0.023766,5.468667,14.408958,5.126202,15.062074,0.018887,0.092409,794083.000000,2540943.000000,17.818143,39.423001,24.076133,39.191132,0.091632,-0.072729
0,4,114,108,105.000000,107.000000,201.700000,215.983333,21.414819,0.962401,0.954652,0.941522,3.577989,4.724710,3.325751,5.046542,0.019486,3.244694,4.314873,2.960038,4.539299,0.019980,2.369437,3.154082,2.123787,3.262173,0.020056,10.817953,14.170006,9.895206,14.839370,0.018936,0.087955,2540724.000000,3179079.000000,15.435933,39.982549,16.019077,39.933108,-0.055632,-0.072722
0,4,118,115,107.000000,110.000000,215.983333,237.366667,28.514819,1.132850,1.039915,1.083447,2.604809,4.087778,2.415675,4.375522,0.020819,2.675449,4.018866,2.498168,4.263542,0.018734,2.244877,3.177528,2.115028,3.331362,0.015922,9.270395,13.354727,8.703642,14.055064,0.016796,0.070606,2184978.000000,2984914.000000,19.563786,39.708746,22.683271,39.503786,-0.099027,-0.043037
0,4,122,114,108.000000,111.000000,223.116667,244.500000,28.514819,0.903221,1.021923,0.977364,2.903858,4.475036,2.687131,4.782766,0.020206,2.447751,4.349028,2.271908,4.778071,0.026054,1.667693,3.391081,1.555706,3.825376,0.031533,8.239849,14.366951,7.687379,15.736738,0.025108,0.116673,1775502.000000,3378702.000000,14.988124,40.033344,15.851374,39.971719,-0.031302,-0.089322
0,4,124,123,111.000000,114.000000,244.500000,265.866667,28.498152,1.110008,1.098171,1.084878,2.166448,3.262873,1.993409,3.508963,0.019818,2.140359,3.324388,1.932243,3.533003,0.021150,1.738425,2.743790,1.543100,2.871533,0.021766,7.554820,11.256934,6.859670,11.843538,0.019140,0.082940,1690663.000000,2561742.000000,19.032329,39.797397,21.959372,39.559756,-0.039998,-0.011670
0,4,125,123,111.000000,115.000000,244.500000,273.000000,35.631485,0.984058,1.059521,1.038239,2.015996,3.450971,1.886467,3.712220,0.018979,1.776043,3.415467,1.671119,3.775852,0.022854,1.283801,2.731253,1.217504,3.096362,0.026171,6.232470,11.486843,5.901351,12.617755,0.021306,0.096426,1330893.000000,2771634.000000,21.014428,39.587068,27.170799,39.243193,-0.006341,-0.072953
0,4,128,122,112.000000,115.000000,251.616667,273.000000,28.514819,0.966792,1.001988,0.984965,2.821735,4.203196,2.617820,4.458228,0.018659,2.527446,3.996096,2.307202,4.312518,0.021921,1.834865,3.050957,1.650493,3.345456,0.024762,8.570362,13.230982,7.852078,14.227484,0.020832,0.095161,1854389.000000,3184714.000000,14.956745,40.057679,15.694932,39.999125,-0.001596,-0.045999
0,4,135,128,116.000000,119.000000,280.150000,301.533333,28.514819,1.074449,1.080504,1.077728,2.349784,3.951313,2.186388,4.349048,0.024102,2.276978,4.018866,2.136666,4.406999,0.025372,1.805806,3.292880,1.712794,3.584352,0.025880,7.931651,13.412752,7.486142,14.560075,0.023314,0.100453,1859720.000000,3687804.000000,17.303539,39.913803,19.325697,39.819654,-0.106130,-0.021231
0,4,139,134,120.000000,123.000000,308.666667,330.066667,28.531485,0.994280,1.071097,1.028884,2.159940,3.418617,2.007782,3.716718,0.021582,1.935431,3.415467,1.779835,3.740086,0.026025,1.419729,2.758630,1.294170,3.033748,0.029857,6.746838,11.503471,6.236902,12.494670,0.024351,0.111208,1717255.000000,2865272.000000,17.114680,39.999319,18.728695,39.932119,0.008757,-0.014158
0,4,140,135,120.000000,123.000000,308.666667,330.066667,28.531485,1.099569,1.029493,1.064295,2.275699,3.803963,2.113452,4.110801,0.023316,2.242823,3.688704,2.099249,3.970646,0.022337,1.812929,2.880797,1.713968,3.078490,0.020524,7.861170,12.302952,7.399195,13.117963,0.020068,0.087233,2041977.000000,3032879.000000,19.282369,39.929631,22.206114,39.686472,-0.039447,-0.031064
0,4,141,135,120.000000,123.000000,308.666667,330.066667,28.531485,1.103073,1.057956,1.061453,2.373182,3.735196,2.158449,4.039867,0.021968,2.356672,3.711474,2.120467,3.930559,0.021629,1.916546,2.973502,1.710236,3.071964,0.020526,8.224040,12.414542,7.448138,13.012412,0.019554,0.084827,2142913.000000,3045929.000000,21.444638,39.680544,25.913371,39.470490,-0.042756,-0.035891
