,time,growth_rate,p1lo_p5t_phi_r,sigma_p1lo_p5t,p1lo_p5o_phi_r,sigma_p1lo_p5o,sigma2_p1lo_p5t,d_phi_r,chi1_r,chi2_r
77,9.770114942528778,0.018364643163592244,0.20099844643012327,0.09136709009328924,0.19949345192486662,0.09205637070488283,0.06745444171797169,-0.00010879721529600285,0.19507417039999095,0.19297401026258768
78,13.793103448275872,0.018887473868481608,0.20030840046946072,0.09429197090194535,0.19880857274731914,0.0950033170475356,0.06967677193310733,-0.00017421295964378092,0.191084670453638,0.18782613904818926
79,17.816091954023022,0.01942443833024674,0.19959673296172503,0.09731841820262457,0.19810223391603707,0.09805259610792437,0.07201730559327302,-0.00019397137872843092,0.18961078765763928,0.18610252635060837
80,21.839080459770116,0.02010593756125093,0.19874771121532392,0.10116311497780264,0.19725956929868782,0.1019262975820797,0.074116975930383,-0.00015204547478562955,0.19118549362052453,0.18842595323172212
81,25.862068965517267,0.020606095296144603,0.19837337856689813,0.10387530547197663,0.19688803950067715,0.10465894905756189,0.07501323435844272,-1.9634938210321003e-05,0.19742050816966208,0.19705388202159344
82,29.88505747126436,0.02086644874482217,0.19858972895386157,0.10507315184296404,0.1971027699440571,0.10586583207706625,0.07523506880539113,0.0002116174517728311,0.20873124629400513,0.21275335249164717
83,33.90804597701151,0.021032838041262054,0.20007604771909332,0.10512421792133833,0.19857795975971504,0.10591728340200687,0.07419368892471835,0.00045123488639782993,0.2215298755626112,0.23047373930384843
84,37.93103448275866,0.021146920585315657,0.20222035447660275,0.1045736500662815,0.20070621082154644,0.10536256201915935,0.07246191394575792,0.0006577938671021882,0.23332624833232365,0.2471109277714513
85,41.954022988505756,0.021089425748058607,0.20536864205209943,0.10269058380737837,0.20383092530189617,0.103465289758278,0.07047942355956992,0.0008159630666111356,0.2440592672193707,0.2617420158062332
86,45.977011494252906,0.021032854254527025,0.2087855745527843,0.10073902040205171,0.20722227320364658,0.10149900360303982,0.06898176198821529,0.000906462381330173,0.25188302439771293,0.2717238752582139
87,50.0,0.021019185606925336,0.21266201753406633,0.09883845667719329,0.21106969095866251,0.09958410187392511,0.06780030897407079,0.0009868394679728076,0.25961148010732926,0.2811043667324986
88,54.02298850574715,0.02102078366586046,0.2167256622261287,0.09699259169376835,0.21510290873429103,0.0977243115379099,0.06681673238301696,0.0010326987941469102,0.26585317386234336,0.2880402043642797
89,58.045977011494244,0.021072001815643122,0.2209710882915702,0.09536089982884424,0.21931654677840975,0.09608031005947573,0.06643520390179973,0.0009850598176763946,0.2677184180561833,0.28807207043860406
90,62.068965517241395,0.021179117783851,0.2246514308740997,0.09427546355456026,0.22296933245459222,0.09498668516740585,0.06675615750485767,0.0009525661372284048,0.26962809831370066,0.2881691096994444
91,66.09195402298855,0.02131803244094834,0.22863541353363787,0.09324029078203992,0.22692348467455173,0.093943702968964,0.06760957906623942,0.0009613725708464722,0.2737320974564861,0.29082819716497066
92,70.11494252873564,0.021484746050976226,0.23238661247861153,0.09245259794366874,0.2306465961695944,0.09315006771302402,0.06822570936631578,0.0009006041665542481,0.27430491881639235,0.2891900720295909
93,74.13793103448279,0.02166366492643334,0.23588165395418928,0.09184124565550424,0.23411546819804552,0.09253410333445962,0.06925201340990213,0.0009603708300079404,0.2802126031850429,0.29467286301772755
94,78.16091954022988,0.021801258474702125,0.24011373409936507,0.09079554968596765,0.23831586025071402,0.0914805185511643,0.06994353720671927,0.0010153499554405717,0.2866867315535611,0.30057136997613154
95,82.18390804597703,0.021982144544425344,0.24405113635428582,0.09007187949542736,0.24222378084115484,0.09075138893501444,0.07015747167044509,0.0009142135201633178,0.28564005040749463,0.29744518784665686
96,86.20689655172418,0.02207656296412035,0.2474694750661964,0.08920923664712595,0.24561652442499401,0.08988223824029419,0.07064695429044493,0.0008799615278687216,0.28732900978176185,0.2978019869316958
97,90.22988505747128,0.022210750339661533,0.2511312865785169,0.08844278481692594,0.24925091778407402,0.08911000423638439,0.07121314562466427,0.0008964109749005086,0.29149061533562765,0.30125533877857086
98,94.25287356321843,0.02217075584746911,0.25468197716309704,0.08705270822234536,0.25277502224366377,0.08770944079315517,0.07107014346337653,0.000861083855478693,0.2935207006330048,0.3022549226672316
99,98.27586206896552,0.02216807054574675,0.2580595474846673,0.08590292729651429,0.25612730269426554,0.08655098582835728,0.07092684464929655,0.0007713905181646258,0.29285691591475954,0.3002043210910579
