,fov,line,cellID,parentID,frame,tTrans,L,V,Itot,xCM,yCM,orientation,der
28816,36,4,114,112,109,236.916667,3.400401,2.671195,2896010.0,22.114735,23.236334,-0.058998,0.05261610468965481
28817,36,4,114,112,110,244.05,3.878204,3.054046,3319848.0,23.344753,23.166285,-0.092964,0.054980818713450286
28818,36,4,114,112,111,251.166667,4.405731,3.463659,3840620.0,25.244831,22.970509,-0.056282,0.05588241736694394
28819,36,4,115,112,108,229.783333,3.311894,2.285659,2403014.0,23.660225,23.061587,0.001577,0.08284158104284303
28820,36,4,115,112,109,236.916667,3.735763,2.832774,3031098.0,25.663497,22.973204,-0.066265,0.08591319892726162
28821,36,4,115,112,110,244.05,4.213881,3.511354,3597254.0,27.249582,22.929374,-0.058715,0.08898481724228087
28822,36,4,119,111,110,244.05,2.309781,1.795841,2023284.0,18.21574,23.4309,0.004205,0.049667210788421214
28823,36,4,119,111,111,251.166667,2.723624,2.11951,2083210.0,19.142076,23.320679,-0.057811,0.05446185100910088
28824,36,4,119,111,112,258.266667,3.206679,2.532567,2683140.0,20.137847,23.269585,-0.059883,0.06568348538011681
28825,36,4,119,111,113,265.416667,3.775407,3.028448,3205622.0,21.183069,23.258958,-0.051203,0.0761184381824605
28826,36,4,119,111,114,272.55,4.42223,3.657332,3944915.0,22.341482,23.193211,-0.058841,0.08019201309308477
28827,36,4,120,111,110,244.05,2.230082,1.591839,1750222.0,20.412351,23.312492,-0.086978,0.05161348704386496
28828,36,4,120,111,111,251.166667,2.671491,1.931638,2091393.0,21.734935,23.192524,-0.057151,0.05646956491278875
28829,36,4,120,111,112,258.266667,3.161831,2.353988,2511101.0,23.285284,23.076662,-0.066264,0.06774060818713436
28830,36,4,120,111,113,265.416667,3.742171,2.870801,3176510.0,24.887197,23.030353,-0.022859,0.07794252223903186
28831,36,4,120,111,114,272.55,4.377172,3.507927,3883782.0,26.663299,22.930749,-0.041354,0.08179462999040334
28832,36,4,121,110,111,251.166667,2.954691,2.095848,2307462.0,13.868758,23.723266,-0.048172,0.034773849765258213
28833,36,4,121,110,112,258.266667,3.236293,2.314666,2662000.0,14.112905,23.69703,-0.04952,0.03940646393762176
28834,36,4,121,110,113,265.416667,3.60792,2.617713,2740417.0,14.295935,23.717246,-0.056778,0.04885197572842671
28835,36,4,121,110,114,272.55,4.042954,3.011715,3356859.0,14.468201,23.704281,-0.055785,0.06092422632348351
28836,36,4,121,110,115,279.7,4.540423,3.452429,4055181.0,14.744349,23.712361,-0.064267,0.07815918530933189
28837,36,4,121,110,116,286.833333,5.173095,4.089833,4685061.0,15.090732,23.674653,-0.061392,0.0929186807642746
28838,36,4,121,110,117,293.966667,5.862491,4.853231,5401460.0,15.4715,23.658281,-0.053099,0.09761858323860025
28839,36,4,127,122,115,279.7,2.352997,2.022546,2274332.0,18.077306,23.543785,-0.062826,0.03049098273322354
28840,36,4,127,122,116,286.833333,2.656632,2.219958,2545090.0,18.84358,23.462745,-0.061644,0.034126128486149675
28841,36,4,127,122,117,293.966667,2.995211,2.477641,2680176.0,19.662529,23.391735,-0.007543,0.0418594645873944
28842,36,4,127,122,118,301.083333,3.409618,2.810547,3038287.0,20.68691,23.33042,-0.03084,0.051181108078839084
28843,36,4,127,122,119,308.216667,3.898268,3.189678,3457486.0,21.919274,23.265967,-0.048787,0.05989188044184536
28844,36,4,127,122,120,315.333333,4.52278,3.690005,4133938.0,23.501467,23.184008,-0.0626,0.06340920014588734
28845,36,4,128,122,115,279.7,2.144837,1.385901,1741161.0,20.19651,23.354445,0.033387,0.05421093711266064
28846,36,4,128,122,116,286.833333,2.486086,1.767859,2091418.0,21.322046,23.293431,0.017091,0.05558840212799689
28847,36,4,128,122,117,293.966667,2.814388,2.164057,2510070.0,22.551561,23.211122,-0.02177,0.05830819233268356
28848,36,4,128,122,118,301.083333,3.169076,2.600224,3106216.0,23.918103,23.136597,-0.004176,0.057563105046567004
28849,36,4,128,122,119,308.216667,3.530679,3.031306,3307566.0,25.517456,23.015897,-0.018105,0.053291831059129324
28850,36,4,128,122,120,315.333333,3.87723,3.362906,3813859.0,27.701838,22.941399,-0.018568,0.05110110982645493
28851,36,4,133,121,118,301.083333,3.601474,2.646455,3174799.0,14.579642,23.710214,-0.060653,0.09797961701125081
28852,36,4,133,121,119,308.216667,4.187295,3.292375,3836083.0,14.823572,23.677592,-0.069793,0.1018136140350877
28853,36,4,133,121,120,315.333333,4.868408,4.097299,4668639.0,15.170756,23.727322,-0.080035,0.1056565906938257
28854,36,4,134,121,118,301.083333,2.824075,2.300013,2708099.0,17.627694,23.530764,-0.024867,0.06862541414715764
28855,36,4,134,121,119,308.216667,3.315492,2.740316,2950796.0,18.407042,23.485076,-0.068296,0.0780373333333333
28856,36,4,134,121,120,315.333333,3.876738,3.328294,3672549.0,19.340521,23.459631,-0.054999,0.09324624561403508
28857,36,4,134,121,121,322.466667,4.538284,4.1183,4662401.0,20.339688,23.437762,-0.060207,0.0990077010273178
28858,36,4,135,133,121,322.466667,2.912991,2.000789,2438832.0,14.115834,23.887518,-0.064789,0.03233752913752897
28859,36,4,135,133,122,329.616667,3.145263,2.219061,2446882.0,14.250089,23.83704,-0.030916,0.034288643351737993
28860,36,4,135,133,123,336.75,3.428773,2.476157,3034434.0,14.472299,23.780022,-0.041186,0.03831611955815464
28861,36,4,135,133,124,343.866667,3.737838,2.763476,3498762.0,14.624356,23.800217,-0.04802,0.04131693049882567
28862,36,4,135,133,125,351.016667,4.112989,3.08,3973663.0,14.831605,23.763005,-0.059521,0.04223677803677817
28863,36,4,136,133,121,322.466667,2.669761,2.401419,2670687.0,16.751464,23.657785,-0.114175,0.040077342657342474
28864,36,4,136,133,122,329.616667,2.969627,2.677029,3064176.0,17.184863,23.625383,-0.100147,0.04089024599510483
28865,36,4,136,133,123,336.75,3.303173,2.985468,3495545.0,17.705903,23.545716,-0.091824,0.04170504867780602
28866,36,4,142,134,122,329.616667,2.760113,2.38801,2818389.0,22.501653,23.288135,-0.01611,0.05897346069969448
28867,36,4,142,134,123,336.75,3.171578,2.785954,3276218.0,23.851805,23.179305,-0.038373,0.06063775438596493
28868,36,4,142,134,124,343.866667,3.644382,3.252098,3879382.0,25.36521,23.120037,-0.054902,0.062305945559440454
28869,36,4,143,136,124,343.866667,1.731829,1.485181,1837192.0,17.334217,23.614872,-0.163515,0.024848065268065347
28870,36,4,143,136,125,351.016667,1.959368,1.680182,2061244.0,17.834312,23.571808,-0.114296,0.02362399220272903
28871,36,4,143,136,126,358.116667,2.170549,1.823171,2112177.0,18.341252,23.594502,-0.006793,0.02070269473140154
28872,36,4,143,136,127,365.233333,2.404491,1.979453,2238849.0,19.007771,23.528109,-0.025393,0.017452350135496102
28873,36,4,143,136,128,372.35,2.609656,2.070228,2434123.0,19.477685,23.525235,-0.022792,0.015886655514026057
28874,36,4,144,136,124,343.866667,1.85891,1.617925,1931213.0,19.066519,23.477857,-0.113437,0.018330023310023386
28875,36,4,144,136,125,351.016667,2.058764,1.754366,2104396.0,19.801363,23.434839,-0.130201,0.018196600389863548
28876,36,4,144,136,126,358.116667,2.236306,1.874663,2109615.0,20.525105,23.486553,-0.015292,0.017547422992975372
28877,36,4,144,136,127,365.233333,2.411195,2.008032,2154937.0,21.338979,23.394868,-0.053522,0.017745804908610222
28878,36,4,144,136,128,372.35,2.585328,2.110093,2358325.0,21.993133,23.3673,-0.06347,0.019819753086419752
28879,36,4,144,136,129,379.483333,2.723466,2.280882,2463488.0,22.75422,23.329955,-0.057261,0.021178528161682683
28880,36,4,145,141,125,351.016667,2.037819,1.535254,1899429.0,21.904338,23.324127,-0.028605,0.05982018779342707
28881,36,4,145,141,126,358.116667,2.482899,1.923914,2121491.0,22.858423,23.325749,-0.059866,0.06619370376836425
28882,36,4,145,141,127,365.233333,2.954503,2.420764,2766090.0,24.048816,23.193612,-0.038919,0.08113929411983764
28883,36,4,145,141,128,372.35,3.515685,3.048182,3546883.0,25.009114,23.163009,-0.028176,0.09430050682261207
28884,36,4,145,141,129,379.483333,4.085579,3.82009,4267020.0,26.201397,23.104868,-0.043009,0.09886403369561955
28885,36,4,151,135,126,358.116667,2.473922,1.736826,2264851.0,14.053541,23.870987,-0.005121,0.021741688219361868
28886,36,4,151,135,127,365.233333,2.585949,1.893843,2236115.0,14.26847,23.84214,-0.031691,0.022497783508925444
28887,36,4,151,135,128,372.35,2.72784,2.043994,2437985.0,14.433227,23.841978,-0.074523,0.02473072384665366
28888,36,4,151,135,129,379.483333,2.886563,2.235585,2588402.0,14.593107,23.844572,-0.057739,0.028994854808877566
28889,36,4,151,135,130,386.616667,3.095001,2.439272,2832458.0,14.737082,23.846443,-0.067218,0.033949136234709125
28890,36,4,151,135,131,393.766667,3.331279,2.728874,3130637.0,14.949574,23.832078,-0.068456,0.03610763878097224
28891,36,4,152,135,126,358.116667,2.017799,1.722722,1957234.0,16.182434,23.741949,-0.043517,0.028529229838803728
28892,36,4,152,135,127,365.233333,2.227826,1.936325,2327151.0,16.563636,23.681757,-0.060527,0.027955129460307454
28893,36,4,152,135,128,372.35,2.426768,2.118218,2449461.0,16.941694,23.691177,-0.043488,0.026911079922027285
28894,36,4,152,135,129,379.483333,2.643475,2.317877,2546949.0,17.218656,23.676503,-0.045978,0.025836681639329884
28895,36,4,152,135,130,386.616667,2.844143,2.48922,2808342.0,17.574549,23.671924,-0.051141,0.02523113471360111
28896,36,4,154,143,129,379.483333,1.434536,1.093893,1264840.0,20.746536,23.456364,-0.022642,0.024254343527631485
28897,36,4,154,143,130,386.616667,1.630522,1.26545,1408227.0,21.330585,23.404174,0.002968,0.025033472188247183
28898,36,4,154,143,131,393.766667,1.843422,1.441379,1598101.0,22.305635,23.354629,-0.021757,0.027568960270616043
28899,36,4,154,143,132,400.883333,2.07545,1.646077,1779453.0,23.396874,23.340045,-0.032916,0.030563769547325113
28900,36,4,154,143,133,408.016667,2.332381,1.883142,1892519.0,24.898096,23.210199,-0.061119,0.03364564678513403
28901,36,4,154,143,134,415.15,2.61364,2.117598,2133086.0,26.293663,23.17756,-0.047454,0.03713212908815246
28902,36,4,154,143,135,422.266667,2.931053,2.416121,2490840.0,27.753993,23.112957,-0.056909,0.0387660796599575
28903,36,4,159,152,131,393.766667,1.718848,1.459471,1696028.0,17.355597,23.689506,0.0161,0.03260997963559523
28904,36,4,159,152,132,400.883333,1.901749,1.696491,1867803.0,17.779654,23.703957,-0.0239,0.033140545808966866
28905,36,4,159,152,133,408.016667,2.124182,1.918674,2057453.0,18.327358,23.63405,-0.053641,0.034662423904564414
28906,36,4,159,152,134,415.15,2.370496,2.184952,2309985.0,18.991177,23.629071,-0.033865,0.036138625947585046
28907,36,4,159,152,135,422.266667,2.665142,2.441512,2568266.0,19.545859,23.595629,-0.066231,0.036901429563569794
28908,36,4,159,152,136,429.416667,2.982796,2.712523,2979042.0,20.204788,23.574603,-0.065243,0.037178154191487275
28909,36,4,161,151,132,400.883333,1.91468,1.359336,1526381.0,14.193126,23.950773,-0.041246,0.03236934276922032
28910,36,4,161,151,133,408.016667,2.191955,1.592203,1730576.0,14.306792,23.916985,-0.071813,0.032260077127879865
28911,36,4,161,151,134,415.15,2.445831,1.819173,2141690.0,14.441055,23.947728,-0.071515,0.03343000649772581
28912,36,4,161,151,135,422.266667,2.723084,2.049329,2405895.0,14.591797,23.944304,-0.081528,0.03660487280345126
28913,36,4,161,151,136,429.416667,3.04295,2.330936,2588670.0,14.777533,23.931226,-0.080168,0.04082204367995888
28914,36,4,161,151,137,436.55,3.397291,2.627877,2847873.0,15.053813,23.94143,-0.079747,0.048904788351191074
28915,36,4,161,151,138,443.683333,3.842205,2.979383,3303068.0,15.286162,23.92462,-0.068891,0.05886379982463146
28916,36,4,161,151,139,450.816667,4.440923,3.48948,3826894.0,15.663119,23.896113,-0.071014,0.06307883664929922
28917,36,4,162,151,132,400.883333,1.814932,1.727412,1862533.0,15.979114,23.790312,-0.056871,0.023989810842073828
28918,36,4,162,151,133,408.016667,2.010451,1.899593,2103151.0,16.316254,23.753189,-0.053583,0.024847553936583694
28919,36,4,162,151,134,415.15,2.208995,2.068613,2319293.0,16.73869,23.789019,-0.066742,0.025701936322287212
28920,36,4,162,151,135,422.266667,2.412942,2.278559,2487279.0,17.01865,23.79119,-0.059794,0.025872139409356266
28921,36,4,162,151,136,429.416667,2.629302,2.433913,2698735.0,17.448638,23.736712,-0.079221,0.02844418263652374
28922,36,4,162,151,137,436.55,2.841645,2.654334,2916645.0,17.944499,23.750003,-0.070685,0.03209656067064042
28923,36,4,162,151,138,443.683333,3.078581,2.907862,3161163.0,18.610352,23.693765,-0.059869,0.03341848110450653
28924,36,4,162,151,139,450.816667,3.32865,3.14784,3449025.0,19.437797,23.638231,-0.056871,0.03349291002700784
28925,36,4,165,159,137,436.55,1.835743,1.489735,1729722.0,20.224919,23.603094,-0.121092,0.03201794542139936
28926,36,4,165,159,138,443.683333,2.042552,1.690187,1827834.0,21.251697,23.545133,-0.033566,0.03705438386944592
28927,36,4,165,159,139,450.816667,2.33031,1.974467,2099019.0,22.360156,23.475561,-0.060833,0.05006512863295394
28928,36,4,165,159,140,457.95,2.695594,2.362536,2396372.0,23.574205,23.401166,-0.090718,0.07195793603818675
28929,36,4,165,159,141,465.083333,3.156588,2.916263,3034671.0,25.077413,23.363294,-0.056442,0.09478773720495157
28930,36,4,165,159,142,472.233333,3.799775,3.786277,3821819.0,26.815152,23.221957,-0.071154,0.1036782664249326
28931,36,4,169,161,140,457.95,2.591629,1.81486,1991715.0,14.72309,24.050281,-0.03942,0.051319254734544635
28932,36,4,169,161,141,465.083333,2.968496,2.158824,2291786.0,14.980244,24.005758,-0.088756,0.0528075624925918
28933,36,4,169,161,142,472.233333,3.400166,2.569128,2741786.0,15.186721,23.953046,-0.06434,0.054292400932400724
28934,36,4,171,162,140,457.95,1.93649,1.762636,1904604.0,19.425394,23.702386,-0.049347,0.025827290926508928
28935,36,4,171,162,141,465.083333,2.153674,1.9479,2047748.0,20.451548,23.645042,-0.061441,0.026121789796696694
28936,36,4,171,162,142,472.233333,2.370299,2.130076,2186789.0,21.56209,23.562353,-0.058377,0.02690756519036379
28937,36,4,171,162,143,479.366667,2.608714,2.33028,2304792.0,22.85151,23.476656,-0.0768,0.027497317738791424
28938,36,4,171,162,144,486.483333,2.834681,2.527579,2437112.0,24.425272,23.422292,-0.068034,0.02759418421387103
28939,36,4,177,170,144,486.483333,2.384144,1.79209,1892199.0,19.397215,23.731242,-0.000602,0.06787361305361327
28940,36,4,177,170,145,493.633333,2.801264,2.247725,2206034.0,20.320861,23.637343,-0.030963,0.07436752941508896
