,time,growth_rate_p5ter,growth_rate_p1longori,phi_r,sigma,chi_r
165,363.79310344827593,0.01963145544896914,0.020853955765511925,0.15734469231348874,0.12476719208205655,0.15845728988772367
166,367.816091954023,0.01956244571030358,0.020854595281132426,0.15750608120029974,0.12420120900237566,0.1592170242982146
167,371.8390804597701,0.019497077578105638,0.020879262764405493,0.1576139930264366,0.12370143794805954,0.16050124361874435
168,375.8620689655173,0.019483047757171783,0.020874810878823893,0.15795901297213835,0.1233424252948979,0.16037523966899703
169,379.8850574712644,0.019550976475515083,0.020977659469336215,0.15799276109642438,0.12374602696881125,0.16037430293141475
170,383.9080459770115,0.01952440198821873,0.02099054801461435,0.15833364547643658,0.12331176945663376,0.16072893460260065
171,387.9310344827586,0.01950955941632729,0.021135111471320505,0.15836904398658605,0.12319048549652016,0.159590901648753
172,391.9540229885058,0.019483691681262398,0.021233537125929836,0.15852544470931978,0.1229057689570824,0.15938828888742454
173,395.9770114942529,0.019456844461235395,0.021388720640329834,0.15850430804353566,0.12275278004362677,0.15906868791163367
174,400.0,0.01945547354405929,0.021486833056569624,0.1586137979957272,0.12265940157730408,0.16001268832696658
