,p1ori_fluo,p1ori_std_dev,p1longori_fluo,p1longori_std_dev,p5ter_fluo,p5ter_std_dev,p5ori_fluo,p5ori_std_dev,p1longter_fluo,p1longter_std_dev,time
31,583434.9632948254,62241.52304189032,788057.1343826811,122617.58532021346,182709.8551969209,23883.13817878224,336622.1932827178,79117.69289616849,418084.53324305866,72086.26891563373,-175.28735632183907
32,584102.5367664967,60968.86356728239,788690.9308036793,119630.6806989973,182568.73428488054,24367.892741572916,335849.7941818066,80100.75083502205,415889.5408824296,69672.83481382098,-171.26436781609195
33,584518.5809822401,64604.14861743755,788575.9724864223,120218.26318077708,182189.53065065597,24977.990001847473,335779.48839456757,88796.92454547551,415668.96701011655,66998.42204216355,-167.24137931034483
34,585578.9959086508,63964.02498212196,789126.0089503393,123316.69845856862,182082.87589664912,24533.803780900755,335097.16737269185,83425.23006769615,416888.72444592725,67237.998989158,-163.2183908045977
35,587807.1155721704,65531.81159586863,789274.3863796236,125824.93593863474,181970.87514012592,24569.173945060622,334595.22550598596,79281.78143372419,417710.68155176577,69104.54561487112,-159.19540229885058
36,590749.1898310838,63041.46759693956,791175.0609112873,129051.04120108396,181700.089717865,24406.79910871804,334208.09126297466,79079.90140721129,416737.88834606647,72534.64352960986,-155.17241379310343
37,592403.4299211097,63490.79660843604,792910.5335779481,123724.6547836037,181542.37834649518,24769.398450081808,333909.14818582963,77924.9254795709,418221.41466624994,73752.8181991459,-151.1494252873563
38,593729.4295388915,63824.2373612477,794349.9577625165,125821.44473555412,181511.3762729686,24241.93105559171,333722.75923327263,80272.50651939494,418119.38115571043,72424.85001726377,-147.1264367816092
39,595352.2176307382,64266.92021996811,795676.2664201162,132977.91935680655,181719.6820513501,24450.50722375008,333109.04577361734,79452.60173056566,416357.56717115553,72637.31980545957,-143.10344827586206
40,596233.8295343926,63735.51670687874,797453.8970975348,127248.13838431503,181986.36623915788,24796.02712830036,332476.2325579234,79093.45909995858,416951.9202860091,73660.61284442167,-139.08045977011494
41,597173.3436758019,62538.021111041264,798655.7577197544,126208.10958433463,182144.62066776538,25032.115155760486,332329.5289135212,79872.20873595869,418685.8973993301,75528.27485388578,-135.05747126436782
42,597316.433153934,61454.12311129227,799576.9857194199,135454.74123981062,182088.90152698083,26257.47031332795,331748.8761309381,78929.16050583647,418985.55187516316,70352.18887737213,-131.03448275862067
43,598335.6356734198,63714.32662301327,799299.5221682475,131658.24291192202,182232.5153376304,25412.33072048827,331469.35625303607,81369.74072246169,420630.6737486488,70248.79115274892,-127.01149425287355
44,599804.2868535466,63688.33816532826,798489.5102333386,128696.42183738592,182470.21105398628,25388.59288269757,330612.3215999648,79933.34688536721,421603.50019222527,68734.18957994902,-122.98850574712642
45,600812.3930222883,64814.2323246536,798724.0602463181,131335.3765370288,182239.60727147415,25477.738865434487,329857.89792362234,79498.70580388994,421658.02750958904,68535.9289570054,-118.9655172413793
46,602072.8754972154,67066.1439429712,797597.0811643167,137226.3284008355,182133.55038529393,25417.391304159195,329255.296511564,79823.50202593066,422912.41730007756,71026.99538379248,-114.94252873563218
47,603559.6714321746,66849.20697618027,796026.5111543009,137544.02327064413,182086.3309687853,25678.259912944948,328994.33070033416,78029.4750140237,422815.58669152006,68637.63678321533,-110.91954022988506
48,604176.8770590721,64616.212156018315,795592.9473629664,134636.57755329384,182065.5676010612,25721.205693639975,329142.9655332468,77462.2019522358,423025.0362133247,76251.94487170664,-106.89655172413791
49,604230.4812107343,65613.04787377089,795588.3449678969,131266.00601905462,181681.89359309693,25855.19813250677,328977.14061725396,76719.08536819709,423384.38576609007,72120.73057882214,-102.87356321839079
50,605147.2802337701,66306.91494961022,796090.883933601,134076.491178521,181454.1328779003,26672.002817271685,329013.2796965481,77645.59959068692,424938.4822521594,74480.80783579122,-98.85057471264366
51,605088.2025009885,68293.28911934802,797408.4678943264,132388.15908906242,181402.72795751903,26541.55042453181,329694.5137947188,75629.60628270818,425583.75096720806,78646.00141010275,-94.82758620689654
52,604813.8217608071,67784.38110658278,797814.0813703667,129884.38215762835,181372.08700252877,27621.04887829317,330552.7805384944,75222.81353641668,428241.4369319575,78581.95192491067,-90.80459770114942
53,604711.2755221667,69799.64158522521,796961.9303635138,132108.1065941402,181260.56582233528,26583.772531006704,331259.2536609384,76312.74904490687,428221.0849553941,79224.61024289101,-86.7816091954023
54,604195.5007276286,72625.46398996719,799225.884747939,129721.69804740604,181199.05918195835,26457.39384340214,331422.1304909843,73491.70482267773,431225.08659780276,81381.68221031906,-82.75862068965517
55,603421.5693377191,76028.40039019335,797914.5043173544,130363.94261787689,181426.2363154493,25832.833078385996,331992.7185775932,72343.19214692009,431972.81654153264,82322.31089161374,-78.73563218390802
56,603230.8732965535,71753.77771079469,795198.6569514261,130364.59919052926,181568.9842789242,26535.167206540493,332615.94096899923,73369.72948508314,430520.5413615775,80304.08251072028,-74.7126436781609
57,604196.6268018091,71660.173876528,794415.686286603,134105.10713294268,181562.76564262653,26593.90826036777,333056.11619621684,73550.67926056408,431290.9364581125,79438.00476359641,-70.68965517241378
58,603776.422645435,72339.95716610478,793589.7796903186,132221.56289083153,181426.81239081113,26500.836445911023,332711.52666305547,73765.87678463307,431616.76516047085,74866.44380396928,-66.66666666666666
59,602682.3161905064,76339.53835777717,792620.4376008724,135895.82338568065,181380.33068989808,26504.158703555404,332698.24484677333,72610.32769318832,430766.1354763266,77768.988675455,-62.643678160919535
60,603445.3627776431,73470.1295673497,793433.1546971807,131768.75479314584,181227.70799855952,27530.17130680397,332630.13113396417,70529.04896826642,430458.9758579009,79587.42049271555,-58.62068965517241
