,time,growth_rate,p1o_p5t_phi_r,sigma_p1o_p5t,p1o_p5o_phi_r,sigma_p1o_p5o,sigma2_p1o_p5t,d_phi_r,chi_r,chi2_r
48,-106.89655172413791,0.018768893046336953,0.24244807482099207,0.07741407334413641,0.20826189815051085,0.09012158831267675,0.05284794865323157,3.345609412354907e-05,0.24423060371286395,0.24505920403016668
49,-102.87356321839079,0.018871354712590962,0.2424695854478737,0.07782978090935838,0.2082803756904463,0.09060553424696256,0.05287368538880865,4.839807198427555e-05,0.24503421701361838,0.24624470933809117
50,-98.85057471264366,0.018853971562480188,0.2428374845955782,0.07764028520506054,0.20859639954374132,0.09038493283546167,0.05281180645297473,4.277815430795866e-05,0.24510640465659536,0.24617309480239274
51,-94.82758620689654,0.018908779951468085,0.2428137774940297,0.07787358751474889,0.20857603524110957,0.09065653170370186,0.05273812630283126,-1.6630971125231258e-05,0.2419342405187242,0.24151504535429433
52,-90.80459770114942,0.01898496672569008,0.24270367218422575,0.07822282438017428,0.20848145523327433,0.0910630957772594,0.05268962708968594,-1.879892763078533e-05,0.24171347146897526,0.24123362388575667
53,-86.7816091954023,0.01906702841730017,0.24266252175447164,0.07857426140404318,0.2084461071835254,0.09147222116512203,0.052517798312767656,-3.08382604812402e-05,0.24104516115656854,0.24024271516533396
54,-82.75862068965517,0.01917837375245648,0.24245554824931922,0.07910057695497727,0.20826831779467694,0.09208493137858655,0.05254963026626629,-6.432305085242657e-05,0.23910161158697904,0.23740701938779715
55,-78.73563218390802,0.01921707605896297,0.24214497996600384,0.07936186024447407,0.20800154091787,0.09238910430260172,0.052630627072028695,-4.811001145137947e-05,0.23964147676375988,0.23836994093813577
56,-74.7126436781609,0.01923330249185133,0.2420684562031587,0.07945398088427334,0.20793580732062233,0.09249634653927083,0.05270377359644087,3.8655362963589165e-05,0.24407827032530266,0.24509836700356014
57,-70.68965517241378,0.01933455672533648,0.24245600012777985,0.07974459990739238,0.20826870595641434,0.09283467065562284,0.0525169642576992,2.720883169653008e-05,0.24386326444126033,0.24459286640001493
58,-66.66666666666666,0.019323077350564204,0.2422873778374986,0.07975271977859338,0.20812386010325426,0.09284412340313913,0.05265886941958471,-7.552501463649727e-05,0.2383788381537669,0.23636783050243498
59,-62.643678160919535,0.01933654220332266,0.24184832759622182,0.07995317724754337,0.20774671775349854,0.09307748595222763,0.05280554106951897,-1.6511342635989963e-05,0.24099443435810436,0.24055544287172287
60,-58.62068965517241,0.019263879159056283,0.24215452795422052,0.07955200888375762,0.20800974260044053,0.09261046582832262,0.052914570039346215,7.41007233381511e-05,0.24600114278845628,0.24793754645437988
61,-54.59770114942526,0.019299599931128193,0.24244454031273568,0.0796041845538494,0.20825886202246965,0.09267120613117488,0.05319939475590538,3.8388731863519805e-05,0.24443363500902537,0.24542089487513322
62,-50.57471264367814,0.019126770732110155,0.24246340280829481,0.07888518642639382,0.208275064828501,0.09183418450912319,0.05356355773152759,3.3186986316160856e-05,0.2441985094178202,0.24501876347063395
63,-46.55172413793102,0.0190255536878182,0.2427115620417163,0.07838750460741611,0.20848823258837737,0.09125480825280313,0.05364342288751452,8.904897690412748e-05,0.24739205535956094,0.24955102477113358
64,-42.528735632183896,0.018861956972975435,0.2431798888293625,0.07756380292702053,0.2088905233709375,0.09029589599659005,0.053188649170972505,9.104392661850438e-05,0.2480067435798504,0.2502187818349122
65,-38.505747126436745,0.018870706156493836,0.24344409938232495,0.07751556190670986,0.20911747914821882,0.09023973621601765,0.053152476700656294,4.5982674182715305e-05,0.24588082187704152,0.24699772331696174
66,-34.48275862068965,0.018774965524613184,0.24354986436876366,0.07708879482759899,0.20920833083615178,0.0897429153493768,0.052993503814474076,2.062726064985518e-05,0.24464852207989574,0.245148064011794
